FMQ,PT,FMQ_PT,FMQCAT,,,
Malignancy,Inflammatory malignant fibrous histiocytoma,Malignancy-Inflammatory malignant fibrous histiocytoma,Narrow,,,
Malignancy,Inflammatory myofibroblastic tumour,Malignancy-Inflammatory myofibroblastic tumour,Narrow,,,
Malignancy,Intestinal adenocarcinoma,Malignancy-Intestinal adenocarcinoma,Narrow,,,
Malignancy,Intestinal metastasis,Malignancy-Intestinal metastasis,Narrow,,,
Malignancy,Intestinal T-cell lymphoma recurrent,Malignancy-Intestinal T-cell lymphoma recurrent,Narrow,,,
Malignancy,Intestinal T-cell lymphoma refractory,Malignancy-Intestinal T-cell lymphoma refractory,Narrow,,,
Malignancy,Intestinal T-cell lymphoma stage I,Malignancy-Intestinal T-cell lymphoma stage I,Narrow,,,
Malignancy,Intestinal T-cell lymphoma stage II,Malignancy-Intestinal T-cell lymphoma stage II,Narrow,,,
Malignancy,Intestinal T-cell lymphoma stage III,Malignancy-Intestinal T-cell lymphoma stage III,Narrow,,,
Malignancy,Intestinal T-cell lymphoma stage IV,Malignancy-Intestinal T-cell lymphoma stage IV,Narrow,,,
Malignancy,Intracranial germ cell tumour,Malignancy-Intracranial germ cell tumour,Narrow,,,
Malignancy,Intracranial meningioma malignant,Malignancy-Intracranial meningioma malignant,Narrow,,,
Malignancy,Intraductal papillary-mucinous carcinoma of pancreas,Malignancy-Intraductal papillary-mucinous carcinoma of pancreas,Narrow,,,
Malignancy,Intraocular melanoma,Malignancy-Intraocular melanoma,Narrow,,,
Malignancy,Invasive breast carcinoma,Malignancy-Invasive breast carcinoma,Narrow,,,
Malignancy,Invasive ductal breast carcinoma,Malignancy-Invasive ductal breast carcinoma,Narrow,,,
Malignancy,Invasive lobular breast carcinoma,Malignancy-Invasive lobular breast carcinoma,Narrow,,,
Malignancy,Invasive papillary breast carcinoma,Malignancy-Invasive papillary breast carcinoma,Narrow,,,
Malignancy,Iris melanoma,Malignancy-Iris melanoma,Narrow,,,
Malignancy,Iritic melanoma,Malignancy-Iritic melanoma,Narrow,,,
Malignancy,Juvenile chronic myelomonocytic leukaemia,Malignancy-Juvenile chronic myelomonocytic leukaemia,Narrow,,,
Malignancy,Keratinising squamous cell carcinoma of nasopharynx,Malignancy-Keratinising squamous cell carcinoma of nasopharynx,Narrow,,,
Malignancy,Large cell carcinoma of the respiratory tract stage unspecified,Malignancy-Large cell carcinoma of the respiratory tract stage unspecified,Narrow,,,
Malignancy,Large cell lung cancer,Malignancy-Large cell lung cancer,Narrow,,,
Malignancy,Large cell lung cancer metastatic,Malignancy-Large cell lung cancer metastatic,Narrow,,,
Malignancy,Large cell lung cancer recurrent,Malignancy-Large cell lung cancer recurrent,Narrow,,,
Malignancy,Large cell lung cancer stage 0,Malignancy-Large cell lung cancer stage 0,Narrow,,,
Malignancy,Large cell lung cancer stage I,Malignancy-Large cell lung cancer stage I,Narrow,,,
Malignancy,Large cell lung cancer stage II,Malignancy-Large cell lung cancer stage II,Narrow,,,
Malignancy,Large cell lung cancer stage III,Malignancy-Large cell lung cancer stage III,Narrow,,,
Malignancy,Large cell lung cancer stage IV,Malignancy-Large cell lung cancer stage IV,Narrow,,,
Malignancy,Large intestine carcinoma,Malignancy-Large intestine carcinoma,Narrow,,,
Malignancy,Laryngeal cancer,Malignancy-Laryngeal cancer,Narrow,,,
Malignancy,Laryngeal cancer metastatic,Malignancy-Laryngeal cancer metastatic,Narrow,,,
Malignancy,Laryngeal cancer recurrent,Malignancy-Laryngeal cancer recurrent,Narrow,,,
Malignancy,Laryngeal cancer stage 0,Malignancy-Laryngeal cancer stage 0,Narrow,,,
Malignancy,Laryngeal cancer stage I,Malignancy-Laryngeal cancer stage I,Narrow,,,
Malignancy,Laryngeal cancer stage II,Malignancy-Laryngeal cancer stage II,Narrow,,,
Malignancy,Laryngeal cancer stage III,Malignancy-Laryngeal cancer stage III,Narrow,,,
Malignancy,Laryngeal cancer stage IV,Malignancy-Laryngeal cancer stage IV,Narrow,,,
Malignancy,Laryngeal squamous cell carcinoma,Malignancy-Laryngeal squamous cell carcinoma,Narrow,,,
Malignancy,Leiomyosarcoma,Malignancy-Leiomyosarcoma,Narrow,,,
Malignancy,Leiomyosarcoma metastatic,Malignancy-Leiomyosarcoma metastatic,Narrow,,,
Malignancy,Lentigo maligna,Malignancy-Lentigo maligna,Narrow,,,
Malignancy,Lentigo maligna recurrent,Malignancy-Lentigo maligna recurrent,Narrow,,,
Malignancy,Lentigo maligna stage I,Malignancy-Lentigo maligna stage I,Narrow,,,
Malignancy,Lentigo maligna stage II,Malignancy-Lentigo maligna stage II,Narrow,,,
Malignancy,Lentigo maligna stage III,Malignancy-Lentigo maligna stage III,Narrow,,,
Malignancy,Lentigo maligna stage IV,Malignancy-Lentigo maligna stage IV,Narrow,,,
Malignancy,Leptomeningeal myelomatosis,Malignancy-Leptomeningeal myelomatosis,Narrow,,,
Malignancy,Leukaemia,Malignancy-Leukaemia,Narrow,,,
Malignancy,Leukaemia basophilic,Malignancy-Leukaemia basophilic,Narrow,,,
Malignancy,Leukaemia cutis,Malignancy-Leukaemia cutis,Narrow,,,
Malignancy,Leukaemia granulocytic,Malignancy-Leukaemia granulocytic,Narrow,,,
Malignancy,Leukaemia monocytic,Malignancy-Leukaemia monocytic,Narrow,,,
Malignancy,Leukaemia recurrent,Malignancy-Leukaemia recurrent,Narrow,,,
Malignancy,Leukaemic cardiac infiltration,Malignancy-Leukaemic cardiac infiltration,Narrow,,,
Malignancy,Leukaemic infiltration,Malignancy-Leukaemic infiltration,Narrow,,,
Malignancy,Leukaemic infiltration extramedullary,Malignancy-Leukaemic infiltration extramedullary,Narrow,,,
Malignancy,Leukaemic infiltration gingiva,Malignancy-Leukaemic infiltration gingiva,Narrow,,,
Malignancy,Leukaemic infiltration hepatic,Malignancy-Leukaemic infiltration hepatic,Narrow,,,
Malignancy,Leukaemic infiltration ovary,Malignancy-Leukaemic infiltration ovary,Narrow,,,
Malignancy,Leukaemic infiltration pulmonary,Malignancy-Leukaemic infiltration pulmonary,Narrow,,,
Malignancy,Leukaemic infiltration renal,Malignancy-Leukaemic infiltration renal,Narrow,,,
Malignancy,Leukaemic lymphoma,Malignancy-Leukaemic lymphoma,Narrow,,,
Malignancy,Leukaemic retinopathy,Malignancy-Leukaemic retinopathy,Narrow,,,
Malignancy,Leydig cell tumour of the testis,Malignancy-Leydig cell tumour of the testis,Narrow,,,
Malignancy,Lip and/or oral cavity cancer,Malignancy-Lip and/or oral cavity cancer,Narrow,,,
Malignancy,Lip and/or oral cavity cancer recurrent,Malignancy-Lip and/or oral cavity cancer recurrent,Narrow,,,
Malignancy,Lip and/or oral cavity cancer stage 0,Malignancy-Lip and/or oral cavity cancer stage 0,Narrow,,,
Malignancy,Lip and/or oral cavity cancer stage I,Malignancy-Lip and/or oral cavity cancer stage I,Narrow,,,
Malignancy,Lip and/or oral cavity cancer stage II,Malignancy-Lip and/or oral cavity cancer stage II,Narrow,,,
Malignancy,Lip and/or oral cavity cancer stage III,Malignancy-Lip and/or oral cavity cancer stage III,Narrow,,,
Malignancy,Lip and/or oral cavity cancer stage IV,Malignancy-Lip and/or oral cavity cancer stage IV,Narrow,,,
Malignancy,Lip neoplasm malignant stage unspecified,Malignancy-Lip neoplasm malignant stage unspecified,Narrow,,,
Malignancy,Lip squamous cell carcinoma,Malignancy-Lip squamous cell carcinoma,Narrow,,,
Malignancy,Liposarcoma,Malignancy-Liposarcoma,Narrow,,,
Malignancy,Liver carcinoma ruptured,Malignancy-Liver carcinoma ruptured,Narrow,,,
Malignancy,Lobular breast carcinoma in situ,Malignancy-Lobular breast carcinoma in situ,Narrow,,,
Malignancy,Lung adenocarcinoma,Malignancy-Lung adenocarcinoma,Narrow,,,
Malignancy,Lung adenocarcinoma metastatic,Malignancy-Lung adenocarcinoma metastatic,Narrow,,,
Malignancy,Lung adenocarcinoma recurrent,Malignancy-Lung adenocarcinoma recurrent,Narrow,,,
Malignancy,Lung adenocarcinoma stage 0,Malignancy-Lung adenocarcinoma stage 0,Narrow,,,
Malignancy,Lung adenocarcinoma stage I,Malignancy-Lung adenocarcinoma stage I,Narrow,,,
Malignancy,Lung adenocarcinoma stage II,Malignancy-Lung adenocarcinoma stage II,Narrow,,,
Malignancy,Lung adenocarcinoma stage III,Malignancy-Lung adenocarcinoma stage III,Narrow,,,
Malignancy,Lung adenocarcinoma stage IV,Malignancy-Lung adenocarcinoma stage IV,Narrow,,,
Malignancy,Lung cancer metastatic,Malignancy-Lung cancer metastatic,Narrow,,,
Malignancy,Lung carcinoma cell type unspecified recurrent,Malignancy-Lung carcinoma cell type unspecified recurrent,Narrow,,,
Malignancy,Lung carcinoma cell type unspecified stage 0,Malignancy-Lung carcinoma cell type unspecified stage 0,Narrow,,,
Malignancy,Lung carcinoma cell type unspecified stage I,Malignancy-Lung carcinoma cell type unspecified stage I,Narrow,,,
Malignancy,Lung carcinoma cell type unspecified stage II,Malignancy-Lung carcinoma cell type unspecified stage II,Narrow,,,
Malignancy,Lung carcinoma cell type unspecified stage III,Malignancy-Lung carcinoma cell type unspecified stage III,Narrow,,,
Malignancy,Lung carcinoma cell type unspecified stage IV,Malignancy-Lung carcinoma cell type unspecified stage IV,Narrow,,,
Malignancy,Lung infiltration malignant,Malignancy-Lung infiltration malignant,Narrow,,,
Malignancy,Lung neoplasm malignant,Malignancy-Lung neoplasm malignant,Narrow,,,
Malignancy,Lung squamous cell carcinoma metastatic,Malignancy-Lung squamous cell carcinoma metastatic,Narrow,,,
Malignancy,Lung squamous cell carcinoma recurrent,Malignancy-Lung squamous cell carcinoma recurrent,Narrow,,,
Malignancy,Lung squamous cell carcinoma stage 0,Malignancy-Lung squamous cell carcinoma stage 0,Narrow,,,
Malignancy,Lung squamous cell carcinoma stage I,Malignancy-Lung squamous cell carcinoma stage I,Narrow,,,
Malignancy,Lung squamous cell carcinoma stage II,Malignancy-Lung squamous cell carcinoma stage II,Narrow,,,
Malignancy,Lung squamous cell carcinoma stage III,Malignancy-Lung squamous cell carcinoma stage III,Narrow,,,
Malignancy,Lung squamous cell carcinoma stage IV,Malignancy-Lung squamous cell carcinoma stage IV,Narrow,,,
Malignancy,Lung squamous cell carcinoma stage unspecified,Malignancy-Lung squamous cell carcinoma stage unspecified,Narrow,,,
Malignancy,Lymphangiosis carcinomatosa,Malignancy-Lymphangiosis carcinomatosa,Narrow,,,
Malignancy,Lymphocytic leukaemia,Malignancy-Lymphocytic leukaemia,Narrow,,,
Malignancy,Lymphocytic lymphoma,Malignancy-Lymphocytic lymphoma,Narrow,,,
Malignancy,Lymphoma,Malignancy-Lymphoma,Narrow,,,
Malignancy,Lymphoma AIDS related,Malignancy-Lymphoma AIDS related,Narrow,,,
Malignancy,Lymphoma operation,Malignancy-Lymphoma operation,Narrow,,,
Malignancy,Lymphomatoid papulosis,Malignancy-Lymphomatoid papulosis,Narrow,,,
Malignancy,Lymphoplasmacytoid lymphoma/immunocytoma,Malignancy-Lymphoplasmacytoid lymphoma/immunocytoma,Narrow,,,
Malignancy,Lymphoplasmacytoid lymphoma/immunocytoma recurrent,Malignancy-Lymphoplasmacytoid lymphoma/immunocytoma recurrent,Narrow,,,
Malignancy,Lymphoplasmacytoid lymphoma/immunocytoma refractory,Malignancy-Lymphoplasmacytoid lymphoma/immunocytoma refractory,Narrow,,,
Malignancy,Lymphoplasmacytoid lymphoma/immunocytoma stage I,Malignancy-Lymphoplasmacytoid lymphoma/immunocytoma stage I,Narrow,,,
Malignancy,Lymphoplasmacytoid lymphoma/immunocytoma stage II,Malignancy-Lymphoplasmacytoid lymphoma/immunocytoma stage II,Narrow,,,
Malignancy,Lymphoplasmacytoid lymphoma/immunocytoma stage III,Malignancy-Lymphoplasmacytoid lymphoma/immunocytoma stage III,Narrow,,,
Malignancy,Lymphoplasmacytoid lymphoma/immunocytoma stage IV,Malignancy-Lymphoplasmacytoid lymphoma/immunocytoma stage IV,Narrow,,,
Malignancy,Malignant anorectal neoplasm,Malignancy-Malignant anorectal neoplasm,Narrow,,,
Malignancy,Malignant ascites,Malignancy-Malignant ascites,Narrow,,,
Malignancy,Malignant biliary obstruction,Malignancy-Malignant biliary obstruction,Narrow,,,
Malignancy,Malignant connective tissue neoplasm,Malignancy-Malignant connective tissue neoplasm,Narrow,,,
Malignancy,Malignant cranial nerve neoplasm,Malignancy-Malignant cranial nerve neoplasm,Narrow,,,
Malignancy,Malignant fibrous histiocytoma,Malignancy-Malignant fibrous histiocytoma,Narrow,,,
Malignancy,Malignant gastrointestinal obstruction,Malignancy-Malignant gastrointestinal obstruction,Narrow,,,
Malignancy,Malignant genitourinary tract neoplasm,Malignancy-Malignant genitourinary tract neoplasm,Narrow,,,
Malignancy,Malignant glioma,Malignancy-Malignant glioma,Narrow,,,
Malignancy,Malignant joint neoplasm,Malignancy-Malignant joint neoplasm,Narrow,,,
Malignancy,Malignant lymphoid neoplasm,Malignancy-Malignant lymphoid neoplasm,Narrow,,,
Malignancy,Malignant lymphoma unclassifiable high grade,Malignancy-Malignant lymphoma unclassifiable high grade,Narrow,,,
Malignancy,Malignant lymphoma unclassifiable low grade,Malignancy-Malignant lymphoma unclassifiable low grade,Narrow,,,
Malignancy,Malignant mast cell neoplasm,Malignancy-Malignant mast cell neoplasm,Narrow,,,
Malignancy,Malignant mediastinal neoplasm,Malignancy-Malignant mediastinal neoplasm,Narrow,,,
Malignancy,Malignant melanoma,Malignancy-Malignant melanoma,Narrow,,,
Malignancy,Malignant melanoma in situ,Malignancy-Malignant melanoma in situ,Narrow,,,
Malignancy,Malignant melanoma of eyelid,Malignancy-Malignant melanoma of eyelid,Narrow,,,
Malignancy,Malignant melanoma of sites other than skin,Malignancy-Malignant melanoma of sites other than skin,Narrow,,,
Malignancy,Malignant melanoma stage I,Malignancy-Malignant melanoma stage I,Narrow,,,
Malignancy,Malignant melanoma stage II,Malignancy-Malignant melanoma stage II,Narrow,,,
Malignancy,Malignant melanoma stage III,Malignancy-Malignant melanoma stage III,Narrow,,,
Malignancy,Malignant melanoma stage IV,Malignancy-Malignant melanoma stage IV,Narrow,,,
Malignancy,Malignant meningioma metastatic,Malignancy-Malignant meningioma metastatic,Narrow,,,
Malignancy,Malignant mesenchymoma,Malignancy-Malignant mesenchymoma,Narrow,,,
Malignancy,Malignant mesenchymoma metastatic,Malignancy-Malignant mesenchymoma metastatic,Narrow,,,
Malignancy,Malignant mesenchymoma recurrent,Malignancy-Malignant mesenchymoma recurrent,Narrow,,,
Malignancy,Malignant mesenteric neoplasm,Malignancy-Malignant mesenteric neoplasm,Narrow,,,
Malignancy,Malignant middle ear neoplasm,Malignancy-Malignant middle ear neoplasm,Narrow,,,
Malignancy,Malignant muscle neoplasm,Malignancy-Malignant muscle neoplasm,Narrow,,,
Malignancy,Malignant neoplasm of ampulla of Vater,Malignancy-Malignant neoplasm of ampulla of Vater,Narrow,,,
Malignancy,Malignant neoplasm of auricular cartilage,Malignancy-Malignant neoplasm of auricular cartilage,Narrow,,,
Malignancy,Malignant neoplasm of choroid,Malignancy-Malignant neoplasm of choroid,Narrow,,,
Malignancy,Malignant neoplasm of conjunctiva,Malignancy-Malignant neoplasm of conjunctiva,Narrow,,,
Malignancy,Malignant neoplasm of cornea,Malignancy-Malignant neoplasm of cornea,Narrow,,,
Malignancy,Malignant neoplasm of eye,Malignancy-Malignant neoplasm of eye,Narrow,,,
Malignancy,Malignant neoplasm of eyelid,Malignancy-Malignant neoplasm of eyelid,Narrow,,,
Malignancy,Malignant neoplasm of islets of Langerhans,Malignancy-Malignant neoplasm of islets of Langerhans,Narrow,,,
Malignancy,Malignant neoplasm of lacrimal duct,Malignancy-Malignant neoplasm of lacrimal duct,Narrow,,,
Malignancy,Malignant neoplasm of lacrimal gland,Malignancy-Malignant neoplasm of lacrimal gland,Narrow,,,
Malignancy,Malignant neoplasm of orbit,Malignancy-Malignant neoplasm of orbit,Narrow,,,
Malignancy,Malignant neoplasm of paraurethral glands,Malignancy-Malignant neoplasm of paraurethral glands,Narrow,,,
Malignancy,Malignant neoplasm of placenta,Malignancy-Malignant neoplasm of placenta,Narrow,,,
Malignancy,Malignant neoplasm of pleura,Malignancy-Malignant neoplasm of pleura,Narrow,,,
Malignancy,Malignant neoplasm of pleura metastatic,Malignancy-Malignant neoplasm of pleura metastatic,Narrow,,,
Malignancy,Malignant neoplasm of renal pelvis,Malignancy-Malignant neoplasm of renal pelvis,Narrow,,,
Malignancy,Malignant neoplasm of retina,Malignancy-Malignant neoplasm of retina,Narrow,,,
Malignancy,Malignant neoplasm of seminal vesicle,Malignancy-Malignant neoplasm of seminal vesicle,Narrow,,,
Malignancy,Malignant neoplasm of spermatic cord,Malignancy-Malignant neoplasm of spermatic cord,Narrow,,,
Malignancy,Malignant neoplasm of spinal cord,Malignancy-Malignant neoplasm of spinal cord,Narrow,,,
Malignancy,Malignant neoplasm of thorax,Malignancy-Malignant neoplasm of thorax,Narrow,,,
Malignancy,Malignant neoplasm of thymus,Malignancy-Malignant neoplasm of thymus,Narrow,,,
Malignancy,Malignant neoplasm of unknown primary site,Malignancy-Malignant neoplasm of unknown primary site,Narrow,,,
Malignancy,Malignant neoplasm of uterine adnexa,Malignancy-Malignant neoplasm of uterine adnexa,Narrow,,,
Malignancy,Malignant neoplasm papilla of Vater,Malignancy-Malignant neoplasm papilla of Vater,Narrow,,,
Malignancy,Malignant neoplasm progression,Malignancy-Malignant neoplasm progression,Narrow,,,
Malignancy,Malignant nervous system neoplasm,Malignancy-Malignant nervous system neoplasm,Narrow,,,
Malignancy,Malignant nipple neoplasm,Malignancy-Malignant nipple neoplasm,Narrow,,,
Malignancy,Malignant nipple neoplasm female,Malignancy-Malignant nipple neoplasm female,Narrow,,,
Malignancy,Malignant nipple neoplasm male,Malignancy-Malignant nipple neoplasm male,Narrow,,,
Malignancy,Malignant oligodendroglioma,Malignancy-Malignant oligodendroglioma,Narrow,,,
Malignancy,Malignant ovarian cyst,Malignancy-Malignant ovarian cyst,Narrow,,,
Malignancy,Malignant palate neoplasm,Malignancy-Malignant palate neoplasm,Narrow,,,
Malignancy,Malignant pericardial neoplasm,Malignancy-Malignant pericardial neoplasm,Narrow,,,
Malignancy,Malignant peritoneal neoplasm,Malignancy-Malignant peritoneal neoplasm,Narrow,,,
Malignancy,Malignant pituitary tumour,Malignancy-Malignant pituitary tumour,Narrow,,,
Malignancy,Malignant pleural effusion,Malignancy-Malignant pleural effusion,Narrow,,,
Malignancy,Malignant polyp,Malignancy-Malignant polyp,Narrow,,,
Malignancy,Malignant respiratory tract neoplasm,Malignancy-Malignant respiratory tract neoplasm,Narrow,,,
Malignancy,Malignant splenic neoplasm,Malignancy-Malignant splenic neoplasm,Narrow,,,
Malignancy,Malignant sweat gland neoplasm,Malignancy-Malignant sweat gland neoplasm,Narrow,,,
Malignancy,Malignant transformation,Malignancy-Malignant transformation,Narrow,,,
Malignancy,Malignant tumour excision,Malignancy-Malignant tumour excision,Narrow,,,
Malignancy,Malignant urinary tract neoplasm,Malignancy-Malignant urinary tract neoplasm,Narrow,,,
Malignancy,Mantle cell lymphoma,Malignancy-Mantle cell lymphoma,Narrow,,,
Malignancy,Mantle cell lymphoma recurrent,Malignancy-Mantle cell lymphoma recurrent,Narrow,,,
Malignancy,Mantle cell lymphoma refractory,Malignancy-Mantle cell lymphoma refractory,Narrow,,,
Malignancy,Mantle cell lymphoma stage I,Malignancy-Mantle cell lymphoma stage I,Narrow,,,
Malignancy,Mantle cell lymphoma stage II,Malignancy-Mantle cell lymphoma stage II,Narrow,,,
Malignancy,Mantle cell lymphoma stage III,Malignancy-Mantle cell lymphoma stage III,Narrow,,,
Malignancy,Mantle cell lymphoma stage IV,Malignancy-Mantle cell lymphoma stage IV,Narrow,,,
Malignancy,Marginal zone lymphoma,Malignancy-Marginal zone lymphoma,Narrow,,,
Malignancy,Marginal zone lymphoma recurrent,Malignancy-Marginal zone lymphoma recurrent,Narrow,,,
Malignancy,Marginal zone lymphoma refractory,Malignancy-Marginal zone lymphoma refractory,Narrow,,,
Malignancy,Marginal zone lymphoma stage I,Malignancy-Marginal zone lymphoma stage I,Narrow,,,
Malignancy,Marginal zone lymphoma stage II,Malignancy-Marginal zone lymphoma stage II,Narrow,,,
Malignancy,Marginal zone lymphoma stage III,Malignancy-Marginal zone lymphoma stage III,Narrow,,,
Malignancy,Marginal zone lymphoma stage IV,Malignancy-Marginal zone lymphoma stage IV,Narrow,,,
Malignancy,Mastocytic leukaemia,Malignancy-Mastocytic leukaemia,Narrow,,,
Malignancy,Maternal cancer in pregnancy,Malignancy-Maternal cancer in pregnancy,Narrow,,,
Malignancy,Mature B-cell type acute leukaemia,Malignancy-Mature B-cell type acute leukaemia,Narrow,,,
Malignancy,Medullary carcinoma of breast,Malignancy-Medullary carcinoma of breast,Narrow,,,
Malignancy,Medullary thyroid cancer,Malignancy-Medullary thyroid cancer,Narrow,,,
Malignancy,Meningioma malignant,Malignancy-Meningioma malignant,Narrow,,,
Malignancy,Mesothelioma malignant,Malignancy-Mesothelioma malignant,Narrow,,,
Malignancy,Metaplastic breast carcinoma,Malignancy-Metaplastic breast carcinoma,Narrow,,,
Malignancy,Metastases to bone,Malignancy-Metastases to bone,Narrow,,,
Malignancy,Metastases to central nervous system,Malignancy-Metastases to central nervous system,Narrow,,,
Malignancy,Metastases to eustachian tube,Malignancy-Metastases to eustachian tube,Narrow,,,
Malignancy,Metastases to Eustachian tube,Malignancy-Metastases to Eustachian tube,Narrow,,,
Malignancy,Metastases to eye,Malignancy-Metastases to eye,Narrow,,,
Malignancy,Metastases to gallbladder,Malignancy-Metastases to gallbladder,Narrow,,,
Malignancy,Metastases to heart,Malignancy-Metastases to heart,Narrow,,,
Malignancy,Metastases to large intestine,Malignancy-Metastases to large intestine,Narrow,,,
Malignancy,Metastases to liver,Malignancy-Metastases to liver,Narrow,,,
Malignancy,Metastases to lung,Malignancy-Metastases to lung,Narrow,,,
Malignancy,Metastases to lymph nodes,Malignancy-Metastases to lymph nodes,Narrow,,,
Malignancy,Metastases to pancreas,Malignancy-Metastases to pancreas,Narrow,,,
Malignancy,Metastases to peritoneum,Malignancy-Metastases to peritoneum,Narrow,,,
Malignancy,Metastases to pleura,Malignancy-Metastases to pleura,Narrow,,,
Malignancy,Metastases to spine,Malignancy-Metastases to spine,Narrow,,,
Malignancy,Metastasis,Malignancy-Metastasis,Narrow,,,
Malignancy,Metastatic bronchial carcinoma,Malignancy-Metastatic bronchial carcinoma,Narrow,,,
Malignancy,Metastatic carcinoid tumour,Malignancy-Metastatic carcinoid tumour,Narrow,,,
Malignancy,Metastatic carcinoma of the bladder,Malignancy-Metastatic carcinoma of the bladder,Narrow,,,
Malignancy,Metastatic choriocarcinoma,Malignancy-Metastatic choriocarcinoma,Narrow,,,
Malignancy,Metastatic gastric cancer,Malignancy-Metastatic gastric cancer,Narrow,,,
Malignancy,Metastatic lymphoma,Malignancy-Metastatic lymphoma,Narrow,,,
Malignancy,Metastatic malignant melanoma,Malignancy-Metastatic malignant melanoma,Narrow,,,
Malignancy,Metastatic neoplasm,Malignancy-Metastatic neoplasm,Narrow,,,
Malignancy,Metastatic nervous system neoplasm,Malignancy-Metastatic nervous system neoplasm,Narrow,,,
Malignancy,Metastatic pain,Malignancy-Metastatic pain,Narrow,,,
Malignancy,Metastatic renal cell carcinoma,Malignancy-Metastatic renal cell carcinoma,Narrow,,,
Malignancy,Metastatic salivary gland cancer,Malignancy-Metastatic salivary gland cancer,Narrow,,,
Malignancy,Metastatic squamous cell carcinoma,Malignancy-Metastatic squamous cell carcinoma,Narrow,,,
Malignancy,Metastatic uterine cancer,Malignancy-Metastatic uterine cancer,Narrow,,,
Malignancy,Microsatellite instability cancer,Malignancy-Microsatellite instability cancer,Narrow,,,
Malignancy,Minimal residual disease,Malignancy-Minimal residual disease,Narrow,,,
Malignancy,Mismatch repair cancer syndrome,Malignancy-Mismatch repair cancer syndrome,Narrow,,,
Malignancy,Mixed adenoneuroendocrine carcinoma,Malignancy-Mixed adenoneuroendocrine carcinoma,Narrow,,,
Malignancy,Mixed hepatocellular cholangiocarcinoma,Malignancy-Mixed hepatocellular cholangiocarcinoma,Narrow,,,
Malignancy,Mucinous adenocarcinoma of appendix,Malignancy-Mucinous adenocarcinoma of appendix,Narrow,,,
Malignancy,Mucinous breast carcinoma,Malignancy-Mucinous breast carcinoma,Narrow,,,
Malignancy,Mucinous cystadenocarcinoma of pancreas,Malignancy-Mucinous cystadenocarcinoma of pancreas,Narrow,,,
Malignancy,Mucinous cystadenocarcinoma ovary,Malignancy-Mucinous cystadenocarcinoma ovary,Narrow,,,
Malignancy,Mucinous endometrial carcinoma,Malignancy-Mucinous endometrial carcinoma,Narrow,,,
Malignancy,Mucoepidermoid carcinoma,Malignancy-Mucoepidermoid carcinoma,Narrow,,,
Malignancy,Mucoepidermoid carcinoma of salivary gland,Malignancy-Mucoepidermoid carcinoma of salivary gland,Narrow,,,
Malignancy,Mueller's mixed tumour,Malignancy-Mueller's mixed tumour,Narrow,,,
Malignancy,Musculoskeletal cancer,Malignancy-Musculoskeletal cancer,Narrow,,,
Malignancy,Myeloid leukaemia,Malignancy-Myeloid leukaemia,Narrow,,,
Malignancy,Myeloma cast nephropathy,Malignancy-Myeloma cast nephropathy,Narrow,,,
Malignancy,Myelomalacia,Malignancy-Myelomalacia,Narrow,,,
Malignancy,Myeloproliferative neoplasm,Malignancy-Myeloproliferative neoplasm,Narrow,,,
Malignancy,Nasal cavity cancer,Malignancy-Nasal cavity cancer,Narrow,,,
Malignancy,Nasal sinus cancer,Malignancy-Nasal sinus cancer,Narrow,,,
Malignancy,Nasopharyngeal cancer,Malignancy-Nasopharyngeal cancer,Narrow,,,
Malignancy,Nasopharyngeal cancer metastatic,Malignancy-Nasopharyngeal cancer metastatic,Narrow,,,
Malignancy,Nasopharyngeal cancer recurrent,Malignancy-Nasopharyngeal cancer recurrent,Narrow,,,
Malignancy,Nasopharyngeal cancer stage 0,Malignancy-Nasopharyngeal cancer stage 0,Narrow,,,
Malignancy,Nasopharyngeal cancer stage I,Malignancy-Nasopharyngeal cancer stage I,Narrow,,,
Malignancy,Nasopharyngeal cancer stage II,Malignancy-Nasopharyngeal cancer stage II,Narrow,,,
Malignancy,Nasopharyngeal cancer stage III,Malignancy-Nasopharyngeal cancer stage III,Narrow,,,
Malignancy,Nasopharyngeal cancer stage IV,Malignancy-Nasopharyngeal cancer stage IV,Narrow,,,
Malignancy,Natural killer-cell leukaemia,Malignancy-Natural killer-cell leukaemia,Narrow,,,
Malignancy,Natural killer-cell lymphoblastic lymphoma,Malignancy-Natural killer-cell lymphoblastic lymphoma,Narrow,,,
Malignancy,Neoplasm malignant,Malignancy-Neoplasm malignant,Narrow,,,
Malignancy,Neoplasm of cornea unspecified malignancy,Malignancy-Neoplasm of cornea unspecified malignancy,Narrow,,,
Malignancy,Nephroblastoma,Malignancy-Nephroblastoma,Narrow,,,
Malignancy,Neuroendocrine breast tumour,Malignancy-Neuroendocrine breast tumour,Narrow,,,
Malignancy,Neuroendocrine carcinoma,Malignancy-Neuroendocrine carcinoma,Narrow,,,
Malignancy,Neuroendocrine carcinoma metastatic,Malignancy-Neuroendocrine carcinoma metastatic,Narrow,,,
Malignancy,Neuroendocrine carcinoma of the bladder,Malignancy-Neuroendocrine carcinoma of the bladder,Narrow,,,
Malignancy,Neuroendocrine carcinoma of the skin,Malignancy-Neuroendocrine carcinoma of the skin,Narrow,,,
Malignancy,Neuroendocrine tumour,Malignancy-Neuroendocrine tumour,Narrow,,,
Malignancy,Neuroendocrine tumour of the lung,Malignancy-Neuroendocrine tumour of the lung,Narrow,,,
